game_id,personid,status,order_num,jerseynum,position,starter,oncourt,played,name,assists,blocks,blocksreceived,fieldgoalsattempted,fieldgoalsmade,fieldgoalspercentage,foulsoffensive,foulsdrawn,foulspersonal,foulstechnical,freethrowsattempted,freethrowsmade,freethrowspercentage,minus,minutes,minutescalculated,plus,plusminuspoints,points,pointsfastbreak,pointsinthepaint,pointssecondchance,reboundsdefensive,reboundsoffensive,reboundstotal,steals,threepointersattempted,threepointersmade,threepointerspercentage,turnovers,twopointersattempted,twopointersmade,twopointerspercentage,dd,td,fpts,team
0022400128,1641744,ACTIVE,3,14,C,True,True,True,Zach Edey,0,1,1,9,5,0.555555555555556,0,1,3,0,0,0,0.0,53.0,PT23M43.10S,PT24M,58.0,5.0,10,2,10,0,6,2,8,1,0,0,0.0,1,9,5,0.555555555555556,False,False,23.5,Grizzlies
0022400128,1642377,ACTIVE,4,0,SG,True,False,True,Jaylen Wells,1,0,0,9,5,0.555555555555556,0,4,2,0,3,3,1.0,80.0,PT35M37.00S,PT35M,87.0,7.0,16,3,2,0,6,1,7,0,6,3,0.5,1,3,2,0.666666666666666,False,False,27.25,Grizzlies
0022400128,1629630,ACTIVE,5,12,PG,True,False,True,Ja Morant,14,0,1,16,9,0.5625,0,5,0,0,7,6,0.857142857142857,57.0,PT28M54.07S,PT29M,86.0,29.0,26,2,14,3,9,1,10,1,5,2,0.4,3,11,7,0.636363636363636,True,True,65.5,Grizzlies
0022400128,1630590,ACTIVE,6,1,,False,False,True,Scotty Pippen Jr.,1,0,1,8,5,0.625,1,7,2,0,5,5,1.0,53.0,PT26M53.93S,PT27M,62.0,9.0,16,4,8,1,3,0,3,1,3,1,0.333333333333333,3,5,4,0.8,False,False,22.25,Grizzlies
0022400128,1630643,ACTIVE,7,30,,False,True,True,Jay Huff,1,1,0,4,1,0.25,0,1,4,0,2,2,1.0,36.0,PT16M35.00S,PT16M,39.0,3.0,4,0,2,0,2,0,2,0,2,0,0.0,1,2,1,0.5,False,False,9.5,Grizzlies
0022400128,1631222,ACTIVE,8,3,,False,True,True,Jake LaRavia,3,0,1,6,3,0.5,0,4,4,0,6,4,0.666666666666666,59.0,PT32M43.00S,PT33M,89.0,30.0,11,4,4,0,9,1,10,2,3,1,0.333333333333333,1,3,2,0.666666666666666,True,False,33.5,Grizzlies
0022400128,1629634,ACTIVE,9,15,,False,False,True,Brandon Clarke,2,0,0,3,3,1.0,0,1,1,0,1,1,1.0,16.0,PT11M40.93S,PT12M,34.0,18.0,7,0,6,0,2,0,2,0,0,0,0.0,0,3,3,1.0,False,False,12.5,Grizzlies
0022400128,1642530,ACTIVE,10,17,,False,True,True,Yuki Kawamura,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,5.0,PT02M55.00S,PT03M,7.0,2.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
0022400128,1630658,ACTIVE,11,8,,False,True,True,Colin Castleton,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,3.0,PT01M43.00S,PT02M,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,2.0,Grizzlies
0022400128,1629723,ACTIVE,12,46,,False,False,False,John Konchar,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Grizzlies
