Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Reggie Jackson (37142320),Reggie Jackson,37142320,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,9.23
PF/C,Xavier Tillman (37142422),Xavier Tillman,37142422,PF/C/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,4.60
PF/C,Pete Nance (37142434),Pete Nance,37142434,PF/C/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,0
PF,Drew Peterson (37142438),Drew Peterson,37142438,PF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,7.79
SG/SF,Baylor Scheierman (37142462),Baylor Scheierman,37142462,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,3.55
SF,Anton Watson (37142477),Anton Watson,37142477,SF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,0
SG/SF,Jaden Springer (37142483),Jaden Springer,37142483,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,3.5
PG,JD Davison (37142503),JD Davison,37142503,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,1.9
C,Adem Bona (37142509),Adem Bona,37142509,C/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,4.55
SG/SF,Jordan Walsh (37142519),Jordan Walsh,37142519,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,4.1
PG,Jared McCain (37142529),Jared McCain,37142529,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,23.94
SF,Justin Edwards (37142532),Justin Edwards,37142532,SF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,4
PF/C,Markieff Morris (37142323),Markieff Morris,37142323,PF/C/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,3.94
C,Dwight Powell (37142335),Dwight Powell,37142335,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,5.99
PF,Joe Ingles (37142337),Joe Ingles,37142337,PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.21
SF,Dante Exum (37142359),Dante Exum,37142359,SF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,0
PF,PJ Dozier (37142376),PJ Dozier,37142376,PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.58
C,Luka Garza (37142406),Luka Garza,37142406,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,5.75
PG,Brandon Williams (37142441),Brandon Williams,37142441,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,2.6
SG/SF,Kessler Edwards (37142444),Kessler Edwards,37142444,SG/SF/F/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,0.61
C,Jesse Edwards (37142467),Jesse Edwards,37142467,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,0
SG/SF,Terrence Shannon Jr. (37142469),Terrence Shannon Jr.,37142469,SG/SF/F/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,3
SG,Jaylen Clark (37142480),Jaylen Clark,37142480,SG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,0
SF/PF,Olivier-Maxence Prosper (37142488),Olivier-Maxence Prosper,37142488,SF/PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,5.60
PG,Daishen Nix (37142500),Daishen Nix,37142500,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.83
SF,Josh Minott (37142506),Josh Minott,37142506,SF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,7.03
PF/C,Leonard Miller (37142515),Leonard Miller,37142515,PF/C/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,4
PG,Rob Dillingham (37142526),Rob Dillingham,37142526,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,7.12
PG,Jazian Gortman (37142535),Jazian Gortman,37142535,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,2.88
