position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
PF/C,Guerschon Yabusele (37142383),Guerschon Yabusele,37142383,PF/C/F/UTIL,4300,PHI@BOS 12/25/2024 05:00PM ET,PHI,21.04,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,guerschonyabusele,1627824,2024-12-25,Turbo1
SG/SF,Quentin Grimes (37142429),Quentin Grimes,37142429,SG/SF/F/G/UTIL,4300,MIN@DAL 12/25/2024 02:30PM ET,DAL,17.95,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,quentingrimes,1629656,2024-12-25,Turbo1
C,Daniel Gafford (37142408),Daniel Gafford,37142408,C/UTIL,4200,MIN@DAL 12/25/2024 02:30PM ET,DAL,25.25,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,danielgafford,1629655,2024-12-25,Turbo1
SF,Jaden McDaniels (37142459),Jaden McDaniels,37142459,SF/F/UTIL,4200,MIN@DAL 12/25/2024 02:30PM ET,MIN,22.34,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,jadenmcdaniels,1630183,2024-12-25,Turbo1
PG/SG,Donte DiVincenzo (37142379),Donte DiVincenzo,37142379,PG/SG/G/UTIL,4100,MIN@DAL 12/25/2024 02:30PM ET,MIN,21.16,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,dontedivincenzo,1628978,2024-12-25,Turbo1
SF/PF,Sam Hauser (37142387),Sam Hauser,37142387,SF/PF/F/UTIL,3900,PHI@BOS 12/25/2024 05:00PM ET,BOS,17.34,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,samhauser,1630573,2024-12-25,Turbo1
SF/PF,Caleb Martin (37142362),Caleb Martin,37142362,SF/PF/F/UTIL,3800,PHI@BOS 12/25/2024 05:00PM ET,PHI,20.2,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,calebmartin,1628997,2024-12-25,Turbo1
C,Luke Kornet (37142347),Luke Kornet,37142347,C/UTIL,3700,PHI@BOS 12/25/2024 05:00PM ET,BOS,15.56,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,lukekornet,1628436,2024-12-25,Turbo1
PF,KJ Martin (37142497),KJ Martin,37142497,PF/F/UTIL,3700,PHI@BOS 12/25/2024 05:00PM ET,PHI,13.52,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,kjmartin,1630231,2024-12-25,Turbo1
PG/SG,Jaden Hardy (37142511),Jaden Hardy,37142511,PG/SG/G/UTIL,3700,MIN@DAL 12/25/2024 02:30PM ET,DAL,11.16,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,jadenhardy,1630702,2024-12-25,Turbo1
SG/SF,Nickeil Alexander-Walker (37142410),Nickeil Alexander-Walker,37142410,SG/SF/F/G/UTIL,3600,MIN@DAL 12/25/2024 02:30PM ET,MIN,19.18,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,nickeilalexanderwalker,1629638,2024-12-25,Turbo1
SG/SF,Ricky Council IV (37142492),Ricky Council IV,37142492,SG/SF/F/G/UTIL,3500,PHI@BOS 12/25/2024 05:00PM ET,PHI,10.42,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,rickycouncil,1641741,2024-12-25,Turbo1
