position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SF,Jaden McDaniels (37171080),Jaden McDaniels,37171080,SF/F/UTIL,4200,SAS@MIN 12/29/2024 08:00PM ET,MIN,22.08,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,jadenmcdaniels,1630183,2024-12-29,Night
PG/SG,Marcus Smart (37170895),Marcus Smart,37170895,PG/SG/G/UTIL,4100,MEM@OKC 12/29/2024 07:00PM ET,MEM,20.92,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,marcussmart,203935,2024-12-29,Night
PG/SG,Donte DiVincenzo (37170954),Donte DiVincenzo,37170954,PG/SG/G/UTIL,4100,SAS@MIN 12/29/2024 08:00PM ET,MIN,21.69,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,dontedivincenzo,1628978,2024-12-29,Night
PF/C,Nikola Jovic (37171164),Nikola Jovic,37171164,PF/C/F/UTIL,4000,MIA@HOU 12/29/2024 07:00PM ET,MIA,16.8,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,nikolajovic,1631107,2024-12-29,Night
SG/SF,Alex Caruso (37170899),Alex Caruso,37170899,SG/SF/F/G/UTIL,4000,MEM@OKC 12/29/2024 07:00PM ET,OKC,17.54,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,alexcaruso,1627936,2024-12-29,Night
SG/SF,Luke Kennard (37170949),Luke Kennard,37170949,SG/SF/F/G/UTIL,3900,MEM@OKC 12/29/2024 07:00PM ET,MEM,16.58,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,lukekennard,1628379,2024-12-29,Night
PG/SG,Stephon Castle (37171215),Stephon Castle,37171215,PG/SG/G/UTIL,3900,SAS@MIN 12/29/2024 08:00PM ET,SAS,21.94,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,stephoncastle,1642264,2024-12-29,Night
SF/PF,Aaron Wiggins (37171011),Aaron Wiggins,37171011,SF/PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.85,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,aaronwiggins,1630598,2024-12-29,Night
PF,Vince Williams Jr. (37171038),Vince Williams Jr.,37171038,PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,MEM,14.75,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,vincewilliams,1631246,2024-12-29,Night
SG/SF,Nickeil Alexander-Walker (37170987),Nickeil Alexander-Walker,37170987,SG/SF/F/G/UTIL,3800,SAS@MIN 12/29/2024 08:00PM ET,MIN,19.32,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,nickeilalexanderwalker,1629638,2024-12-29,Night
SF/PF,Keldon Johnson (37171022),Keldon Johnson,37171022,SF/PF/F/UTIL,3700,SAS@MIN 12/29/2024 08:00PM ET,SAS,22.8,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,keldonjohnson,1629640,2024-12-29,Night
