"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Amen Thompson","32.45","SG/SF","HOU","CHA","31.6","5,800","5.59","3.45"
"Brook Lopez","32.33","C","MIL","CHI","31.9","5,500","5.88","4.83"
"Dyson Daniels","32.26","PG/SG","ATL","MIN","34.0","6,700","4.81","-1.24"
"Walker Kessler","32.06","C","UTA","CLE","29.1","6,100","5.26","1.56"
"Anfernee Simons","31.87","PG","POR","DAL","32.2","6,500","4.90","-0.63"
"Michael Porter Jr.","31.68","SF/PF","DEN","PHX","32.3","6,500","4.87","-0.82"
"Miles Bridges","31.63","PF","CHA","HOU","31.1","6,800","4.65","-2.37"
"Desmond Bane","31.44","SG/SF","MEM","LAC","29.2","7,100","4.43","-4.06"
"Jarrett Allen","31.41","C","CLE","UTA","29.3","6,200","5.07","0.41"
"Deandre Ayton","31.02","C","POR","DAL","29.4","6,500","4.77","-1.48"
"Myles Turner","30.99","C","IND","GSW","29.5","6,400","4.84","-1.01"
"Aaron Gordon","30.98","PF","DEN","PHX","29.8","6,100","5.08","0.48"
"Jeremy Sochan","30.75","PF","SAS","PHI","30.8","6,400","4.81","-1.25"
"Jonas Valanciunas","30.37","C","WAS","OKC","23.7","4,500","6.75","7.87"
"Derrick White","30.14","PG/SG","BOS","ORL","33.3","6,600","4.57","-2.86"
"Ben Simmons","30.01","PG","BKN","MIA","30.3","5,900","5.09","0.51"
"Tyus Jones","30.01","PG","PHX","DEN","31.6","5,600","5.36","2.01"
"Ayo Dosunmu","29.97","PG/SG","CHI","MIL","34.6","6,300","4.76","-1.53"
"Jusuf Nurkic","29.89","C","PHX","DEN","26.8","6,000","4.98","-0.11"
"Mikal Bridges","29.85","SG/SF","NYK","TOR","36.8","6,200","4.81","-1.15"
"OG Anunoby","29.56","SF/PF","NYK","TOR","33.9","6,100","4.85","-0.94"
"Nic Claxton","29.54","C","BKN","MIA","26.8","5,700","5.18","1.04"
"Clint Capela","29.31","C","ATL","MIN","25.0","5,400","5.43","2.31"
"Jalen Duren","29.18","C","DET","LAL","28.2","5,700","5.12","0.68"
"Collin Sexton","29.07","PG/SG","UTA","CLE","28.5","5,500","5.29","1.57"
"PJ Washington","29.00","PF","DAL","POR","32.0","6,600","4.39","-4.00"
"Jaden Ivey","28.96","PG/SG","DET","LAL","28.6","6,600","4.39","-4.04"
"Draymond Green","28.95","PF/C","GSW","IND","27.4","6,300","4.60","-2.55"
"Royce O'neale","28.48","SF/PF","PHX","DEN","30.7","5,200","5.48","2.48"
"Andrew Wiggins","28.40","SF/PF","GSW","IND","28.4","6,200","4.58","-2.60"
"Rui Hachimura","28.17","SF/PF","LAL","DET","34.8","5,400","5.22","1.17"
"Chris Paul","28.05","PG","SAS","PHI","28.3","6,000","4.68","-1.95"
"Devin Vassell","28.01","SG/SF","SAS","PHI","28.8","5,400","5.19","1.01"
"Jaime Jaquez Jr.","27.98","SF/PF","MIA","BKN","30.3","3,800","7.36","8.98"
"Dereck Lively II","27.88","C","DAL","POR","25.7","5,800","4.81","-1.12"
"Dennis Schroder","27.76","PG/SG","GSW","IND","27.4","5,500","5.05","0.26"
"De'Andre Hunter","27.39","SF/PF","ATL","MIN","29.0","6,000","4.57","-2.61"
"Bennedict Mathurin","27.17","SG/SF","IND","GSW","31.4","6,700","4.06","-6.33"
"Justin Champagnie","26.80","SF/PF","WAS","OKC","27.7","5,500","4.87","-0.70"
"Ryan Rollins","26.27","PG","MIL","CHI","26.9","3,500","7.51","8.77"
"Jordan Clarkson","26.26","SG","UTA","CLE","25.4","5,300","4.96","-0.24"
"Tobias Harris","26.20","PF","DET","LAL","30.6","5,500","4.76","-1.30"
"Malcolm Brogdon","26.14","PG/SG","WAS","OKC","26.1","5,000","5.23","1.14"
"Jerami Grant","26.05","PF","POR","DAL","30.4","5,700","4.57","-2.45"
"Shaedon Sharpe","26.03","PG/SG","POR","DAL","29.4","5,700","4.57","-2.47"
"Jabari Smith Jr.","25.90","PF/C","HOU","CHA","34.0","5,500","4.71","-1.60"
"Zach Edey","25.84","C","MEM","LAC","22.7","4,800","5.38","1.84"
"Santi Aldama","25.82","PF","MEM","LAC","24.8","5,300","4.87","-0.68"
"Kelly Oubre Jr.","25.51","SG","PHI","SAS","33.8","6,100","4.18","-4.99"
"T.J. McConnell","25.37","PG","IND","GSW","21.2","4,900","5.18","0.87"
"Deni Avdija","25.22","SF/PF","POR","DAL","23.9","5,300","4.76","-1.28"
"Mike Conley","24.99","PG","MIN","ATL","25.9","4,700","5.32","1.49"
"Naz Reid","24.97","PF/C","MIN","ATL","23.9","4,400","5.67","2.97"
"Jonathan Kuminga","24.95","PF","GSW","IND","24.0","5,800","4.30","-4.05"
"Christian Braun","24.78","SG/SF","DEN","PHX","32.3","5,100","4.86","-0.72"
"Payton Pritchard","24.73","PG/SG","BOS","ORL","28.0","5,800","4.26","-4.27"
"Kevin Porter Jr.","24.64","PG","LAC","MEM","23.1","4,600","5.36","1.64"
"Noah Clowney","24.20","PF/C","BKN","MIA","26.8","4,500","5.38","1.70"
"Gradey Dick","23.88","SG","TOR","NYK","31.5","5,900","4.05","-5.62"
"Jaden McDaniels","23.71","SF","MIN","ATL","31.9","4,500","5.27","1.21"
"Malik Beasley","23.51","SG/SF","DET","LAL","26.6","5,300","4.44","-2.99"
"Caris LeVert","23.40","PG/SG","CLE","UTA","24.5","5,300","4.42","-3.10"
"Jonathan Mogbo","23.35","PF/C","TOR","NYK","27.6","5,000","4.67","-1.65"
"Mark Williams","23.25","C","CHA","HOU","21.1","4,900","4.74","-1.25"
"Daniel Gafford","22.83","C","DAL","POR","18.3","4,300","5.31","1.33"
"Kelly Olynyk","22.80","C","TOR","NYK","19.8","5,300","4.30","-3.70"
"Klay Thompson","22.52","SG/SF","DAL","POR","25.3","5,600","4.02","-5.48"
"Cole Anthony","22.50","PG/SG","ORL","BOS","19.3","4,700","4.79","-1.00"
"Ochai Agbaji","22.30","PF","TOR","NYK","30.5","5,200","4.29","-3.70"
"Donte DiVincenzo","22.23","PG/SG","MIN","ATL","23.9","4,100","5.42","1.73"
"Jrue Holiday","22.18","PG","BOS","ORL","28.9","5,100","4.35","-3.32"
"Luguentz Dort","22.11","SG/SF","OKC","WAS","26.6","4,600","4.81","-0.89"
"Dru Smith","22.03","PG","MIA","BKN","26.3","4,200","5.25","1.03"
"Duncan Robinson","21.91","SG","MIA","BKN","25.8","4,100","5.34","1.41"
"Kentavious Caldwell-Pope","21.91","SG","ORL","BOS","32.7","4,500","4.87","-0.59"
"Gary Trent Jr.","21.84","SG/SF","MIL","CHI","28.9","4,100","5.33","1.34"
"Andrew Nembhard","21.79","PG/SG","IND","GSW","27.5","4,800","4.54","-2.21"
"Obi Toppin","21.75","PF/C","IND","GSW","21.2","4,700","4.63","-1.75"
"D'Angelo Russell","21.75","PG","LAL","DET","22.6","5,400","4.03","-5.25"
"AJ Green","21.69","PG/SG","MIL","CHI","28.9","4,300","5.04","0.19"
"Kris Dunn","21.56","PG/SG","LAC","MEM","25.5","4,000","5.39","1.56"
"Cody Martin","21.44","SG/SF","CHA","HOU","26.6","5,200","4.12","-4.56"
"Tristan da Silva","21.02","SF/PF","ORL","BOS","27.7","4,200","5.01","0.02"
"Toumani Camara","20.81","SG/SF","POR","DAL","28.5","4,900","4.25","-3.69"
"Larry Nance Jr.","20.75","PF/C","ATL","MIN","23.0","4,500","4.61","-1.75"
"Trayce Jackson-Davis","20.72","C","GSW","IND","19.1","3,900","5.31","1.22"
"Cason Wallace","20.70","PG/SG","OKC","WAS","26.4","4,200","4.93","-0.30"
"Zaccharie Risacher","20.61","SF","ATL","MIN","22.9","3,600","5.73","2.61"
"Anthony Black","20.60","PG/SG","ORL","BOS","22.9","4,800","4.29","-3.40"
"Carlton Carrington","20.60","PG/SG","WAS","OKC","27.8","5,200","3.96","-5.40"
"Keon Johnson","20.44","PG/SG","BKN","MIA","26.3","4,100","4.99","-0.06"
"Buddy Hield","20.28","SG","GSW","IND","21.6","4,600","4.41","-2.72"
"Day'Ron Sharpe","20.23","C","BKN","MIA","17.8","3,900","5.19","0.73"
"Scotty Pippen Jr.","20.14","PG","MEM","LAC","19.7","5,600","3.60","-7.86"
"Al Horford","19.91","PF/C","BOS","ORL","25.5","4,600","4.33","-3.09"
"Wendell Carter Jr.","19.88","PF/C","ORL","BOS","21.9","4,800","4.14","-4.12"
"Patrick Williams","19.86","PF","CHI","MIL","22.5","4,200","4.73","-1.14"
"Scoot Henderson","19.86","PG","POR","DAL","21.9","4,400","4.51","-2.14"
"Shake Milton","19.70","PG/SG","BKN","MIA","24.9","4,300","4.58","-1.80"
"Keldon Johnson","19.48","SF/PF","SAS","PHI","22.9","4,200","4.64","-1.52"
"Jalen Smith","19.17","C","CHI","MIL","16.0","3,800","5.05","0.17"
"Brandon Clarke","19.00","PF/C","MEM","LAC","20.8","4,000","4.75","-1.00"
"Jonathan Isaac","18.94","PF/C","ORL","BOS","17.3","3,500","5.41","1.44"
"Nick Richards","18.78","C","CHA","HOU","18.0","5,200","3.61","-7.22"
"Taurean Prince","18.74","SF/PF","MIL","CHI","24.0","3,900","4.81","-0.76"
"Talen Horton-Tucker","18.69","SF","CHI","MIL","18.0","3,800","4.92","-0.31"
"Jake LaRavia","18.40","SF/PF","MEM","LAC","22.4","4,300","4.28","-3.10"
"Nickeil Alexander-Walker","18.37","SG/SF","MIN","ATL","22.9","3,700","4.97","-0.13"
"Corey Kispert","18.26","SG/SF","WAS","OKC","24.7","4,200","4.35","-2.74"
"Miles McBride","18.19","PG/SG","NYK","TOR","22.9","3,800","4.79","-0.81"
"Alex Caruso","18.14","SG/SF","OKC","WAS","19.0","4,000","4.53","-1.86"
"Caleb Martin","18.11","SF/PF","PHI","SAS","26.9","4,100","4.42","-2.39"
"Kevon Looney","18.04","C","GSW","IND","17.1","3,800","4.75","-0.96"
"Kyshawn George","17.94","SF/PF","WAS","OKC","25.1","3,300","5.44","1.44"
"Jalen Wilson","17.77","SF","BKN","MIA","24.4","4,600","3.86","-5.23"
"Kyle Filipowski","17.54","PF/C","UTA","CLE","18.0","3,000","5.85","2.54"
"Micah Potter","17.43","PF/C","UTA","CLE","22.5","3,000","5.81","2.43"
"Andre Jackson Jr.","17.41","SG/SF","MIL","CHI","21.9","3,600","4.84","-0.59"
"Derrick Jones Jr.","17.39","PF","LAC","MEM","22.6","3,600","4.83","-0.61"
"Jaylen Wells","17.34","SG/SF","MEM","LAC","22.8","3,900","4.44","-2.16"
"Ty Jerome","17.11","PG","CLE","UTA","16.9","3,900","4.39","-2.39"
"Precious Achiuwa","17.07","PF/C","NYK","TOR","16.7","3,500","4.88","-0.43"
"Amir Coffey","17.02","SF/PF","LAC","MEM","23.2","3,500","4.86","-0.48"
"Sam Merrill","16.99","SG","CLE","UTA","23.9","3,500","4.85","-0.51"
"Marvin Bagley III","16.94","C","WAS","OKC","16.6","3,000","5.65","1.94"
"Mason Plumlee","16.81","C","PHX","DEN","17.9","4,000","4.20","-3.19"
"Donovan Clingan","16.69","C","POR","DAL","16.4","4,000","4.17","-3.31"
"Tyrese Martin","16.59","SG/SF","BKN","MIA","21.9","3,600","4.61","-1.41"
"Matas Buzelis","16.55","SF/PF","CHI","MIL","18.6","3,500","4.73","-0.95"
"Stephon Castle","16.44","PG/SG","SAS","PHI","20.9","4,500","3.65","-6.06"
"Naji Marshall","16.43","SF/PF","DAL","POR","18.3","4,900","3.35","-8.07"
"Georges Niang","16.40","SF/PF","CLE","UTA","21.5","4,400","3.73","-5.60"
"Josh Green","16.36","SF/PF","CHA","HOU","29.1","4,700","3.48","-7.14"
"Cam Whitmore","16.24","SF/PF","HOU","CHA","16.4","3,000","5.41","1.24"
"Svi Mykhailiuk","16.18","SG/SF","UTA","CLE","21.5","3,300","4.90","-0.32"
"Nikola Jovic","16.17","PF/C","MIA","BKN","18.4","3,300","4.90","-0.33"
"Julian Strawther","16.07","SG/SF","DEN","PHX","23.6","4,000","4.02","-3.93"
"Mo Bamba","16.07","C","LAC","MEM","15.1","3,100","5.18","0.57"
"Guerschon Yabusele","16.00","PF/C","PHI","SAS","18.9","4,700","3.40","-7.50"
"Tim Hardaway Jr.","15.99","SG/SF","DET","LAL","27.6","4,000","4.00","-4.01"
"Tidjane Salaun","15.98","PF","CHA","HOU","21.5","4,600","3.47","-7.02"
"Ausar Thompson","15.92","SF/PF","DET","LAL","16.5","4,400","3.62","-6.08"
"Max Christie","15.85","SG/SF","LAL","DET","26.0","3,900","4.06","-3.65"
"Harrison Barnes","15.83","SF/PF","SAS","PHI","24.9","4,100","3.86","-4.67"
"Charles Bassey","15.76","C","SAS","PHI","14.7","4,100","3.84","-4.74"
"Max Strus","15.54","SG/SF","CLE","UTA","18.7","4,900","3.17","-8.96"
"Trevelin Queen","15.32","PG","ORL","BOS","18.5","3,300","4.64","-1.18"
"Julian Champagnie","15.11","SG/SF","SAS","PHI","20.9","4,700","3.22","-8.39"
"Brandin Podziemski","15.10","PG/SG","GSW","IND","18.2","4,200","3.60","-5.90"
"Paul Reed","14.99","C","DET","LAL","14.9","3,500","4.28","-2.51"
"Ryan Dunn","14.96","PF","PHX","DEN","21.4","3,600","4.16","-3.04"
"Isaiah Joe","14.93","SG/SF","OKC","WAS","18.0","3,300","4.52","-1.57"
"Haywood Highsmith","14.91","SF/PF","MIA","BKN","23.2","3,400","4.39","-2.09"
"Isaiah Collier","14.48","PG","UTA","CLE","17.9","3,000","4.83","-0.52"
"Delon Wright","14.17","PG","MIL","CHI","17.8","3,400","4.17","-2.83"
"Spencer Dinwiddie","13.99","PG","DAL","POR","18.2","5,000","2.80","-11.01"
"Andre Drummond","13.85","C","PHI","SAS","13.0","5,600","2.47","-14.15"
"Jae'Sean Tate","13.74","SF/PF","HOU","CHA","16.8","3,000","4.58","-1.26"
"Dalano Banton","13.72","PG/SG","POR","DAL","13.0","3,900","3.52","-5.78"
"Ja'Kobe Walter","13.71","SG/SF","TOR","NYK","19.8","4,300","3.19","-7.79"
"Monte Morris","13.35","PG","PHX","DEN","16.0","3,200","4.17","-2.65"
