"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Ousmane Dieng","2.87","C","OKC","WAS","3.6","3,000","0.96","-12.13"
"Dillon Jones","2.65","PF","OKC","WAS","3.6","3,000","0.88","-12.35"
"Luke Kornet","2.64","C","BOS","ORL","3.3","3,700","0.71","-15.86"
"Kai Jones","2.64","PF/C","LAC","MEM","3.4","3,000","0.88","-12.36"
"Jock Landale","2.63","C","HOU","CHA","2.9","3,000","0.88","-12.37"
"Moussa Diabate","2.58","C","CHA","HOU","3.0","3,300","0.78","-13.92"
"Cory Joseph","2.44","PG","ORL","BOS","3.3","3,200","0.76","-13.56"
"Dariq Whitehead","2.29","SG","BKN","MIA","3.5","3,000","0.76","-12.71"
"Pat Connaughton","2.23","SF/PF","MIL","CHI","2.7","3,000","0.74","-12.77"
"Olivier-Maxence Prosper","2.08","SF/PF","DAL","POR","2.6","3,000","0.69","-12.92"
"Reece Beekman","2.00","PG","BKN","MIA","3.0","3,000","0.67","-13.00"
"Duop Reath","1.99","C","POR","DAL","2.6","3,000","0.66","-13.01"
"Dwight Powell","1.93","C","DAL","POR","2.6","3,000","0.64","-13.07"
"Kessler Edwards","1.80","SG/SF","DAL","POR","2.6","3,000","0.60","-13.20"
"Bones Hyland","1.71","PG","LAC","MEM","1.6","3,000","0.57","-13.29"
"Kris Murray","1.70","SF","POR","DAL","2.6","3,000","0.57","-13.30"
"Marjon Beauchamp","1.67","PG/SF","MIL","CHI","1.7","3,000","0.56","-13.33"
"Tristan Thompson","1.57","C","CLE","UTA","1.6","3,000","0.52","-13.43"
"Bruno Fernando","1.54","C","TOR","NYK","1.5","4,200","0.37","-19.46"
"Rayan Rupert","1.50","SG/SF","POR","DAL","2.6","3,000","0.50","-13.50"
"Craig Porter Jr.","1.34","PG","CLE","UTA","1.6","3,000","0.45","-13.66"
"James Johnson","1.32","PF/C","IND","GSW","1.5","3,000","0.44","-13.68"
"Pat Spencer","1.31","PG","GSW","IND","1.5","3,000","0.44","-13.69"
"Dario Saric","1.27","C","DEN","PHX","1.5","3,000","0.42","-13.73"
"Jeff Green","1.26","PF/C","HOU","CHA","1.9","3,000","0.42","-13.74"
"Gui Santos","1.23","SG","GSW","IND","1.5","3,000","0.41","-13.77"
"Marcus Sasser","1.22","PG","DET","LAL","1.6","3,000","0.41","-13.78"
"Wendell Moore Jr.","1.18","PG/SG","DET","LAL","1.6","3,000","0.39","-13.82"
"John Konchar","1.15","SG/SF","MEM","LAC","1.6","3,200","0.36","-14.85"
"Jaden Springer","1.14","SG/SF","BOS","ORL","1.4","3,000","0.38","-13.86"
"Cam Christie","1.14","SG","LAC","MEM","1.6","3,000","0.38","-13.86"
"JT Thor","1.12","PF","CLE","UTA","1.6","3,000","0.37","-13.88"
"Zeke Nnaji","1.12","C","DEN","PHX","1.5","3,000","0.37","-13.88"
"Quinten Post","1.12","C","GSW","IND","1.5","3,000","0.37","-13.88"
"Ariel Hukporti","1.11","C","NYK","TOR","1.5","3,000","0.37","-13.89"
"Cam Spencer","1.10","SG","MEM","LAC","1.6","3,000","0.37","-13.90"
"Tyler Kolek","1.10","PG","NYK","TOR","1.5","3,000","0.37","-13.90"
"JD Davison","1.07","PG","BOS","ORL","1.4","3,000","0.36","-13.93"
"Quincy Olivari","1.06","PG","LAL","DET","1.6","3,000","0.35","-13.94"
"Johnny Furphy","1.04","SG/SF","IND","GSW","1.5","3,000","0.35","-13.96"
"Pacome Dadiet","1.04","SG/SF","NYK","TOR","1.5","3,000","0.35","-13.96"
"Jordan Walsh","0.96","SG/SF","BOS","ORL","1.4","3,000","0.32","-14.04"
"Bobi Klintman","0.94","PF","DET","LAL","1.6","3,000","0.31","-14.06"
"Armel Traore","0.93","PF/C","LAL","DET","1.6","3,000","0.31","-14.07"
"Jacob Toppin","0.91","SF/PF","NYK","TOR","1.5","3,000","0.30","-14.09"
"Trey Alexander","0.89","PG/SG","DEN","PHX","1.5","3,000","0.30","-14.11"
"Matt Ryan","0.88","SG/SF","NYK","TOR","1.5","3,000","0.29","-14.12"
"AJ Lawson","0.86","PG","TOR","NYK","1.5","3,000","0.29","-14.14"
"Sandro Mamukelashvili","0.80","PF/C","SAS","PHI","0.9","3,000","0.27","-14.20"
"Nate Williams","0.77","PG/SF","HOU","CHA","1.0","3,000","0.26","-14.23"
"KJ Simpson","0.75","PG","CHA","HOU","1.0","3,000","0.25","-14.25"
"Jack McVeigh","0.75","SG","HOU","CHA","1.0","3,000","0.25","-14.25"
"Mouhamed Gueye","0.74","C","ATL","MIN","1.0","3,000","0.25","-14.26"
"Baylor Scheierman","0.74","SG/SF","BOS","ORL","1.4","3,000","0.25","-14.26"
"PJ Dozier","0.70","PF","MIN","ATL","0.8","3,000","0.23","-14.30"
"Leonard Miller","0.70","PF/C","MIN","ATL","0.8","3,000","0.23","-14.30"
"Stanley Umude","0.69","SG","MIL","CHI","0.8","3,000","0.23","-14.31"
"Reggie Jackson","0.67","PG","PHI","SAS","0.9","3,000","0.22","-14.33"
"Nick Smith Jr.","0.66","SG/SF","CHA","HOU","1.0","3,000","0.22","-14.34"
"Tyler Smith","0.64","PF","MIL","CHI","0.8","3,000","0.21","-14.36"
"Malaki Branham","0.63","PG/SG","SAS","PHI","0.9","3,000","0.21","-14.37"
"David Roddy","0.62","PF","ATL","MIN","0.8","3,200","0.20","-15.38"
"Chris Duarte","0.62","SG","CHI","MIL","0.8","3,000","0.21","-14.38"
"Blake Wesley","0.60","PG/SG","SAS","PHI","0.9","3,000","0.20","-14.40"
"Keaton Wallace","0.59","PG","ATL","MIN","0.8","3,500","0.17","-16.91"
