Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,PJ Dozier (37170946),PJ Dozier,37170946,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,2.58
PF/C,Sandro Mamukelashvili (37170978),Sandro Mamukelashvili,37170978,PF/C/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,9.36
C,Luka Garza (37170982),Luka Garza,37170982,C/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,5.75
SG,David Duke Jr. (37171030),David Duke Jr.,37171030,SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,6
C,Jesse Edwards (37171090),Jesse Edwards,37171090,C/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,0
SG/SF,Terrence Shannon Jr. (37171092),Terrence Shannon Jr.,37171092,SG/SF/F/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,3
SG,Jaylen Clark (37171108),Jaylen Clark,37171108,SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,0
PG,Daishen Nix (37171131),Daishen Nix,37171131,PG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,2.83
SF,Josh Minott (37171136),Josh Minott,37171136,SF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,7
PG/SG,Blake Wesley (37171139),Blake Wesley,37171139,PG/SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,8.49
PG/SG,Malaki Branham (37171143),Malaki Branham,37171143,PG/SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,10.10
PF,Harrison Ingram (37171147),Harrison Ingram,37171147,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,1.25
PF/C,Leonard Miller (37171174),Leonard Miller,37171174,PF/C/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,4
PG,Rob Dillingham (37171201),Rob Dillingham,37171201,PG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,7.12
SG/SF,Sidy Cissoko (37171207),Sidy Cissoko,37171207,SG/SF/F/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,2.62
PF,Riley Minix (37171223),Riley Minix,37171223,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,2.5
