position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SG/SF,Alex Caruso (37170529),Alex Caruso,37170529,SG/SF/F/G/UTIL,4000,MEM@OKC 12/29/2024 07:00PM ET,OKC,17.54,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,alexcaruso,1627936,2024-12-29,Main
PF,Chris Boucher (37170538),Chris Boucher,37170538,PF/F/UTIL,3900,ATL@TOR 12/29/2024 06:00PM ET,TOR,19.88,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,chrisboucher,1628449,2024-12-29,Main
SG/SF,Luke Kennard (37170541),Luke Kennard,37170541,SG/SF/F/G/UTIL,3900,MEM@OKC 12/29/2024 07:00PM ET,MEM,16.58,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,lukekennard,1628379,2024-12-29,Main
PG/SG,Stephon Castle (37170534),Stephon Castle,37170534,PG/SG/G/UTIL,3900,SAS@MIN 12/29/2024 08:00PM ET,SAS,21.94,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,stephoncastle,1642264,2024-12-29,Main
C,Luke Kornet (37170551),Luke Kornet,37170551,C/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,BOS,15.83,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,lukekornet,1628436,2024-12-29,Main
SG/SF,Jordan Walsh (37170556),Jordan Walsh,37170556,SG/SF/F/G/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,BOS,4.67,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,jordanwalsh,1641775,2024-12-29,Main
SF/PF,Aaron Nesmith (37170565),Aaron Nesmith,37170565,SF/PF/F/UTIL,3800,IND@BOS 12/29/2024 06:00PM ET,IND,17.75,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,aaronnesmith,1630174,2024-12-29,Main
PF,Vince Williams Jr. (37170553),Vince Williams Jr.,37170553,PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,MEM,14.75,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,vincewilliams,1631246,2024-12-29,Main
SF/PF,Aaron Wiggins (37170561),Aaron Wiggins,37170561,SF/PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.85,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,aaronwiggins,1630598,2024-12-29,Main
SG/SF,Nickeil Alexander-Walker (37170546),Nickeil Alexander-Walker,37170546,SG/SF/F/G/UTIL,3800,SAS@MIN 12/29/2024 08:00PM ET,MIN,19.32,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,nickeilalexanderwalker,1629638,2024-12-29,Main
